,tweet_id,tweetText,polarity_value,polarity_type,topic,set
26,ID:142548640685228032,"Mis #FF xa @merpastor x volver a sonreír, a @GFVara x ser tan autentico, a @24horas_rne x su subidòn y a @CarmendelRiego x su victoria",P,AGREEMENT,entretenimiento,train
27,ID:142552759953141761,Agradezco a trabajadores y sindicatos la desconvocatoria de la huelga en el aeropuerto. Me he comprometido a mediar #sevillahoy,P,AGREEMENT,política,train
28,ID:142556824292442112,#FF a @RdscubreNavidad por ser una gran iniciativa que en estos momentos se necesita. Hay que recordar lo importante y verdadero!,P,AGREEMENT,entretenimiento,train
31,ID:142569992418897922,3.Tercer acto.Acuerdo Bancos centrales para dar un poco de tiempo.,P,AGREEMENT,economía,train
32,ID:142574119152648192,Soy consciente de que estamos pidiendo un gran esfuerzo a las familias castellanomanchegas.,N,AGREEMENT,política,train
33,ID:142574138685526016,Eguiguren: el Gobierno ha negociado con ETA. Llevamos dos años denunciándolo. http://t.co/gsDGB8NV,N,AGREEMENT,política,train
34,ID:142579555402653696,No se ha aprobado la ley Sinde,N,AGREEMENT,política,train
36,ID:142579874547249152,"¡¡Mucho ánimo hoy para ""La Armada""!! ¡¡Espero que podáis brindarnos la quinta Copa Davis!! ¡¡¡MUCHA SUERTE!!! http://t.co/WHsk2vv6",P,AGREEMENT,deportes,train
37,ID:142579876459847680,"Blanco, ministro portavoz en funciones, desacredita de forma rotunda al pte del PSE, Jesús Eguiguren:""no sabe de lo que habla, no es cierto""",N,AGREEMENT,política,train
38,ID:142582871591362560,Desgraciadamente el paro en España sigue creciendo. Madrid va mejorando con 8.000 cotizantes más y 4.000 desempleados menos.,N,DISAGREEMENT,política,train
40,ID:142593149913673728,#FF de vuelta ;-)) @Pepemaras @PopularesCyL @anamariavielba @marmarev @ajimnezvelayos @jmoreta23 @dllanosg @c_floriano,P,AGREEMENT,política,train
41,ID:142593771790532608,"Qué graciosos los ""laicos"" socialistas. Le meten el Amazing Grace a un anuncio de la DGT. Si se descuidan le ponen el Pange Lingua!",N,DISAGREEMENT,política,train
45,ID:142606640099762176,Me encanta ver por aqui  a @TuDNIe ;-)),P,AGREEMENT,entretenimiento,train
46,ID:142608911256662016,si están por Valencia España les recomiendo esta exposición !! http://t.co/hkjRpj9b,P,AGREEMENT,otros,train
48,ID:142624216959819776,“@martacerame: @maria_rey Amigaaaaa!!!!!” holaaaa guapaaaa!,P,AGREEMENT,otros,train
49,ID:142637480934514688,El juez imputa a dos directivos de la Ciudad de las Artes y Ciencias de Valencia por el caso Urdangarín. Parece que todos lo están menos él,N,AGREEMENT,política,train
51,ID:142660083946491905,El desempleo en EE UU baja a los niveles de marzo de 2009 http://t.co/2RKKqQFG,P,AGREEMENT,economía,train
54,ID:142676877553844224,"Granado reconoce que da los datos de paro ""con objetividad"" por estar en interinidad. ¿Y antes? @TelediarioInter 20:30",N,AGREEMENT,economía,train
55,ID:142681150308102146,Corazón partío: España e Irlanda se enfrentarán en la Eurocopa.,N,AGREEMENT,fútbol,train
56,ID:142687408129982464,"Transparencia Internacional España ocupa n. 31 en ranking 182 pdetrás Detrás de Chipre, Emiratos Arabes, Qatar...urge ley transparencia ya",N,AGREEMENT,política,train
57,ID:142688031785226240,RT @FanClubMASes: Éstas Navidades regala solidaridad:#positivegeneration (cont) http://t.co/BksU1DZv,P,AGREEMENT,música,train
58,ID:142690669536886787,¿Crisis de identidad? RT @LoidaLois @EvaORegan ¡¡¡Tú eres española por encima de todo!!!,N,AGREEMENT,entretenimiento,train
59,ID:142691468224626688,El Teleton hace un gran servicio social. Y voy a apoyarlo por supuesto. RT @karlagglez: (cont) http://t.co/Hs601N32,P,AGREEMENT,música,train
60,ID:142692535503028224,Cospedal debería pedir perdón por mentir y utilizar de forma demagógica la rebaja sueldo funcionarios...la que ahora aplica sin pudor,N,AGREEMENT,economía,train
61,ID:142696986603302912,"Así me gusta, Mónica “@moniromaba: @pedroj_ramirez. A la orden jefe. Cualquiera te va a discutir. Ipad+orbyt+trabajo.”",P,AGREEMENT,entretenimiento,train
63,ID:142698835578327040,Hace cinco meses el PP me comunicó por escrito que su interlocutor preferente era IU. Ello le permitió gobernar. Ahora pide consensos.,P,AGREEMENT,política,train
64,ID:142700153919377408,"Bienvenidos a la Brigada anti-Vara, pero esta región tiene un problema más. IU deja tirado a Monago 5 meses después de su nombramiento.",N,AGREEMENT,política,train
65,ID:142700988762038272,@GFVara la ley del embudo...característica de la derecha española. Animo,N,AGREEMENT,política,train
66,ID:142712535869689857,"Eso no es cierto, nos llevamos de maravilla. RT @Deyra_love_BTR: @AlejandroSanz  ¬¬ POR QE!!! (cont) http://t.co/7DyF7Sus",P,AGREEMENT,música,train
67,ID:142716125346668544,"España se pone a 1 punto de ganar su quinta Davis.Sevilla, d nuevo talismán.Mañana,22h @giraldatv.es http://t.co/Ns8tOZqR",P,AGREEMENT,deportes,train
68,ID:142718656571379712,Bueno: España a un punto de ganar la 5ª Copa Davis. Felicidades al equipo!!!,P,AGREEMENT,deportes,train
70,ID:142737411007459328,@SSantiagosegura @angyfdz @flofdez BORRADO ESTÁ AMIGUETES!! UN ABRUZO!!;),P,AGREEMENT,entretenimiento,train
71,ID:142739315879976960,"Para nadaaaa... Sabeis que no es asi. A veces no coincidimos, es todo. Os mando mucho cariño,RT (cont) http://t.co/NWQIgoK5",P,AGREEMENT,música,train
72,ID:142746097071304704,"Adiós al día en el q casi ha culminado el ""destape"" dl Estado de Bienestar? q nos va a quedar después d q se lo gastasen casi todo",N,AGREEMENT,política,train
74,ID:142760416379015168,"""La risa ilumina las almas que están bañadas de tristeza, la sonrisa es la tibia caricia para la helada soledad""W.H. Patrick",P,AGREEMENT,otros,train
75,ID:142862083837530112,Detener la carrera nuclear de Irán debería ser una prioridad estratégica máxima para Occidente.,N,AGREEMENT,política,train
76,ID:142886992848494592,"A ver si lo entiendo: como Banco Central Europeo no puede prestar a los Gobiernos, prestará al FMI para q este, q si puede,lo haga. Europa!",P,AGREEMENT,economía,train
77,ID:142889010551984128,Altos cargos recelan del exhaustivo traspaso de poderes. Aseguran que se ha convertido en fiscalización . http://t.co/zto5m1tw,N,AGREEMENT,política,train
78,ID:142896028348203009,"Buenos dias, que buenos eran/siguen siendo Talking Heads...",P,AGREEMENT,música,train
79,ID:142906509758701569,@SSantiagosegura jijijiji y el q se sibe a la mesa dl jurado es el verdadero Manolo Escobar!!;)))) haciendo d Lady Marmalade!!!;)) jojijii,P,AGREEMENT,entretenimiento,train
81,ID:142912219972247552,Los resultados preliminares en Egipto auguran un profundo cambio con consecuencias regionales.Falta voto rural q atenuará algo resultados.,N,AGREEMENT,política,train
82,ID:142926609215799296,Tranquilidad en las carreteras en el segundo día de Puente de la Constitución - http://t.co/NRk2uftQ,P,AGREEMENT,otros,train
83,ID:142928818708029440,Gracias por la hospitalidad!!! ;-) RT @IsabelaTortlini Bienvenido DON @aarbeloa17 a mi humilde morada ;),P,AGREEMENT,otros,train
84,ID:142933511345668097,"En el Espolón, conmemorando el Día de la Discapacidad http://t.co/52olz4vl",P,AGREEMENT,otros,train
86,ID:142935376787554304,Los vándalos le arrancan de nuevo el lápiz a Picasso http://t.co/LfyNuArl,N,AGREEMENT,otros,train
87,ID:142936416949780481,Esto es apoyar de verdad: La @DiputacionMLG  reducirá impuestos a 96 pueblos http://t.co/VIGtaT1k,P,AGREEMENT,economía,train
88,ID:142937245148651521,Un poco d agua fria despues dl entrenamiento esta mañana. Ahora a comer un poco d pasta y descanso total para esta noche q sera muy dificil!,N,AGREEMENT,fútbol,train
89,ID:142938216415240192,Que corra el Dewars!!!“@DewarsSpain: @jordievole @buenafuente @julia_otero @santi_millan gracias Jordi”,P,AGREEMENT,entretenimiento,train
90,ID:142938533374607360,Detenida la jefa de una prestigiosa ONG rusa de control electoral http://t.co/leWFa7BO,P,AGREEMENT,política,train
91,ID:142938884559478786,Porque no tenemos programa. Gracias @KimyTwitera: @Buenafuente buenafuente por q ya no dais tanta risa???¿¿¿¿???”,N,AGREEMENT,entretenimiento,train
92,ID:142940119492603904,"Mi artículo en ESD: ""La testarudez del consejero de Salud riojano pone a Sanz en la picota""  http://t.co/M9poedN7",N,AGREEMENT,política,train
95,ID:142947177998716928,"Sinceramente, estoy observando la zona de "" recreo"" psiquiátrica del H.Civil y es patético lo que veo http://t.co/vE8BhpJs",N,AGREEMENT,otros,train
96,ID:142957892537024512,"Con Fina, mi mujer, amigos y el reparto de ""Iceberg"", nueva película de Gabriel Velázquez.Por Gabri no pasan los años. http://t.co/n2chJhTr",P,AGREEMENT,cine,train
97,ID:142966192158683136,". @diario_sur así esta la zona de ""recreo"" psiquiátrica en el Hospital Civil . Patético . Son personas http://t.co/QDcW1amA",N,AGREEMENT,otros,train
98,ID:142967218228035584,Me reservo dónde y cómo deposito mis ahorros con mi familia. Sólo estoy obligado a la trasparencia pública aunque veo que hay mucho experto.,N,AGREEMENT,política,train
100,ID:142997519004213248,Bien que lo siento si es así.La UEDila la bienvenida ayer.Esperemos que aun salga adelante.,N,AGREEMENT,política,train
104,ID:143011211649363968,GRACIAS AMIGOS!!! YA SOMOS 200.000!!!;),P,AGREEMENT,entretenimiento,train
108,ID:143027966543278081,"Preciosa de verdad - Perdóname by Pablo Alborán, from #SoundHound http://t.co/u0CAbR3X",P,AGREEMENT,música,train
109,ID:143056921610563586,Ataque de inyección SQL masivo http://t.co/q4usPkRL,N,AGREEMENT,tecnología,train
111,ID:143070052793581568,Mira @sblanco nuestro árbol ;-)) http://t.co/gjBkxMpv,P,AGREEMENT,otros,train
112,ID:143108403655483392,"Je,je!!! Eso es bueno @mkreyes80: @Buenafuente me has hecho llorar... De risa!”",P,DISAGREEMENT,entretenimiento,train
113,ID:143140299236065280,RT @Nosesiaporto: Vamos Chilenos ! ultimo esfuerzo! al banco! queda poco y lo lograremos!!! La teleton te necesita!!!,P,AGREEMENT,otros,train
114,ID:143152217447346176,"Ya estamos. ¿Por qué no me duermo? Lo voy a intentar, no debe ser tan difícil.",P,AGREEMENT,otros,train
115,ID:143165770904510464,RT @Betolash: A ver Pau ¿cuánto es 4x4? Un jeep todo terreno maestra #MultiplicoComoPaulinaRubio ja ja ja muy bueno!,P,AGREEMENT,música,train
116,ID:143239663631601666,Por qué los medios de comunicación se han llenado de anuncios oficiales? No había q recortar el gasto publico? Quien lo denuncia?,N,AGREEMENT,economía,train
117,ID:143248510572179457,"Buenos dias y mil gracias RT @pvcmalaga: Buen día @mariviromero,mi concejala favorita.",P,AGREEMENT,política,train
118,ID:143256062743691264,. @JavierArenas_PP  critica que @PepeGrinan pida a @MarianoRajoy una reunión que niega a sus alcaldes  http://t.co/5oMAB1Us,N,AGREEMENT,política,train
120,ID:143270558614814720,Krugman: la austeridad está matando al euro http://t.co/CbRL2Rj8 via @el_pais,N,AGREEMENT,economía,train
121,ID:143281884145786880,".@sgueina: ""¿quién es el tapado del PSOE? La respuesta está en mi blog http://t.co/aFKafvRL”¿Sólo ha leído dos libros?"" Era una metáfora.",N,AGREEMENT,política,train
123,ID:143302306111303681,;-)) RT @cacmalaga: http://t.co/AFmBIYxK @cacmalaga #arte #cultura #pintura #museo #museums,P,AGREEMENT,otros,train
124,ID:143303588125474816,Rajoy quiere que España vuelva a tener relevancia en Europa http://t.co/RGhPlkBR,P,AGREEMENT,política,train
125,ID:143303733898510336,"Políticos q no responden. ""En ningún país dl mundo homologable al nstro se tolera semejante práctica"" http://t.co/7hoIl9HR via @antonlosada",N,AGREEMENT,política,train
126,ID:143307115291877376,"@EvaORegan @antonlosada Obviamente, contar que son declaraciones q no ha permitido preguntas.",N,AGREEMENT,otros,train
127,ID:143309719174529025,"No podía faltar, dominguito en mi tierra y final de la Davis. Con el cuñao (@carlos_muela ). http://t.co/l28AOIdR",P,AGREEMENT,fútbol,train
128,ID:143311475430260736,Palmas por sevillanas para animar a Rafa!! #sevillaciudadtalisman #copadavis,P,AGREEMENT,deportes,train
131,ID:143317693754380288,"'Chico & Rita', premio europeo a la mejor cinta de animación http://t.co/FF7giIse",P,AGREEMENT,cine,train
132,ID:143324562891870209,Vamos equipo!! Vamos Nadal!! Toda España esta en tu mano!! Eres el mejor y contigo todos vamos a ser Campeones!! También ELORRIO,P,AGREEMENT,deportes,train
133,ID:143342564567810048,"Otro passing escalofriante sobre la linea pone a Nadal 5 a 1 en el tercero.La ensaladera, mas cerca.#VamosRafa #CopaDavis ole @RafaelNadal!!",P,AGREEMENT,deportes,train
135,ID:143346236257337345,"Dicen q esta el Rey en la Cartuja. Hoy es el DiA en q TVE tendría q sacarle todo el rato,hacer patria. Sera la imparcialidad...",P,AGREEMENT,entretenimiento,train
137,ID:143354376042463233,“@BeaGarciaCHV: @Edurnity mi segundo apellido es camello! Tendré algo que ver con los reyes magos???”te doy mi carta y se la das??jajja bss!,P,AGREEMENT,otros,train
138,ID:143354541075726336,"“@marinitaMF: @Edurnity Ojo, que yo me apellido ""Molas"", tal cual! y no es broma.”en serio?? Como Mola!! Jajjaja",P,AGREEMENT,otros,train
139,ID:143354715411988480,Viaje a las embajadas catalanas del derroche - ABC.es http://t.co/sD2LV37R via @abc_es,N,AGREEMENT,economía,train
140,ID:143356195539927042,"Este set lo está ganando el público argentino. Del Potro había tirado la toalla, comenzaron a cantar y van ganado. Rafa puede! #VamosRafa",P,AGREEMENT,deportes,train
141,ID:143358081777139712,“@Ryankuletz: Creo que @edurnity se ha puesto a responder tweets sobre apellidos por el iPhone. #cosasquenuncaentenderas :)”jaajjajajja,P,AGREEMENT,otros,train
142,ID:143358450691354624,Amonestado el público argentino en La Cartuja!!!,N,AGREEMENT,deportes,train
143,ID:143364774506405888,... Y Rafa saluda a todo el equipo argentino. Qué talla de campeón!!,P,AGREEMENT,deportes,train
144,ID:143364815681888257,"La quinta ensaladera. Nadal saludando al equipo argentino. Y ahora al público. Oe, oe, oe",P,AGREEMENT,deportes,train
145,ID:143364900327137280,Ya esta aquí. Ya llegó por fin la quinta ensaladera. Gracias a todos los miembros del equipo hoy mucha gente dormirá feliz.,P,AGREEMENT,deportes,train
146,ID:143365066933284864,"que grande, ese abrazo de nadal con todo el equipo argentino IMPRESIONANTE. como sabe ganar este campeón!!!",P,AGREEMENT,deportes,train
147,ID:143370650403352576,Grandioso Rafa Nadal!!!!!,P,AGREEMENT,deportes,train
148,ID:143374898637709314,"El público que cante gritando sin parar: ""por eso yo te quiero dar Rafa mi corazón, yo te sigo a todas partes..."" ¡Gracias por ser ESPAÑOL!",P,AGREEMENT,deportes,train
152,ID:143390430346756096,"Felicidades a @RafaelNadal y a todo el equipo español de Copa Davis. Todo un ejemplo de esfuerzo, ilusión y superación. RbCb",P,AGREEMENT,deportes,train
155,ID:143414408675196929,"Fantásticas, a cual mejor “@MarisolCovelo. qué os parece mi foto de #elprimernaufragio ?http://t.co/ZjCzROgC http://t.co/CH3jjGX1”",P,AGREEMENT,entretenimiento,train
156,ID:143419382196998145,Fin a la impunidad en #Internet http://t.co/j7WaLdS3,P,AGREEMENT,tecnología,train
157,ID:143438321790627841,A mi me parece muy digno que la ministra italiana de Trabajo llore. No me lo parecían las risas de Berlusconi.,N,AGREEMENT,política,train
159,ID:143452437305495552,En el blog: Lágrimas tecnócratas http://t.co/Y7K9awBr,N,AGREEMENT,otros,train
160,ID:143458158097076224,"""Los ministros d @marianorajoy : fin de la ineptocracia"" @Semanaldigital @PPopular http://t.co/PrsX6XAN",N,AGREEMENT,política,train
161,ID:143461111788867584,"Portada de Público de mañana: Urdangarin SA. Dentro, la lista de las 103 entidades que pagaron a Nóos http://t.co/BP1Bfcl6",N,AGREEMENT,economía,train
162,ID:143569425671528449,A por @crackoviadeTV3 !!;)) buenos días queridos twiteros!!;)),P,AGREEMENT,entretenimiento,train
163,ID:143580586752229377,Gracias Venezuela!!! http://t.co/UdCRaDkY,P,AGREEMENT,otros,train
164,ID:143582635455811586,"Bdías, Elisabeth. Estoy muy orgulloso de que EM haya localizado en un remoto lugar de Rumania al testigo que no acudió al juicio.",P,AGREEMENT,entretenimiento,train
165,ID:143585437393485825,"¿Cómo se explica que miles de españoles se ausenten en masa del trabajo durante el ""puente"", mientras en España hay 5 millones de parados?",N,AGREEMENT,economía,train
166,ID:143591708486148097,"Mas es presidente autonómico porque tenemos autogobierno gracias a la Constitución,pero ni la cumple ni la hace cumplir #fueradelaley",N,AGREEMENT,política,train
167,ID:143617992159272960,"Sobre ""accidentes""... RT @santigonzalez10 Él había llegado antes http://t.co/yQjNqebS",N,AGREEMENT,otros,train
169,ID:143643482240720896,Dani García recoge en un libro 50 tapas para acercar la cocina a la sociedad http://t.co/Se4fAB9z,P,AGREEMENT,literatura,train
171,ID:143645176269783040,"El gobierno chino cree que el país ""no está preparado"" para protestas sociales - http://t.co/tyMt3Omq",N,AGREEMENT,política,train
174,ID:143689395797626881,UpyD y Amaiur recurriran a la justicia si no logran grupo. La justicia ya dió todo el poder a la mesa del congreso en caso similar.,N,AGREEMENT,política,train
177,ID:143710718833852416,"Y mientras tanto, el verdadero problema se agrava año tras año http://t.co/J4stXBl8",N,AGREEMENT,otros,train
179,ID:143713822115504128,Que bonito despliegue de seguridad en alfonso XII. Contravigilancia en toda la manzana. Y no es nadie del Gobierno!!!!,P,AGREEMENT,otros,train
180,ID:143716894099259392,Uno de los desafíos del periodismo. Encontrar su sitio para no perder la vigilancia del poder via @Clarin_com http://t.co/vgpQHJvs,P,AGREEMENT,entretenimiento,train
181,ID:143727355997851648,El @ppandaluz no aceptará el caramelo de una presidencia de dos años en la FAMP si no hay refundación http://t.co/tAgF97e6  @europapress_es,N,AGREEMENT,política,train
182,ID:143731999457292288,"Sí, raritos q somos...  ""Si yo fuera España y se tratara de elegir entre 2 o 3 años de caos y 20 o 30 en la miseria..."" http://t.co/69OM6a3R",N,AGREEMENT,economía,train
183,ID:143737549490372608,"RT @PerezHilton @paurubio Que triste es esto, Pau! http://t.co/ZKF4LZOH @JonahMowryReal &lt;3! http://t.co/HBdZNwj5",N,DISAGREEMENT,música,train
184,ID:143741539598860288,"Joooooo :-) RT @xaviconde Me dice @Tonicanto1, que quiere rapear una estrofa del villancico. Lo siento Toni, aquí tenemos a @Padrinomc.",P,AGREEMENT,música,train
187,ID:143764315495862272,Detienen a dos sospechosos por secuestro cooperantes españoles en Tinduf. Intentaron venderlos a AQMI. http://t.co/kkOrMmiw V @plazaro67,N,AGREEMENT,otros,train
190,ID:143783103729631232,"Toda suya “@juliosandreu: Sí Sr. La he grabado. Un saludo desde el otro lado, jeje, ( de España ). Buena tarde.”",P,AGREEMENT,otros,train
192,ID:143798628799102977,Entiendo los unfollow. Aceptar el desconcierto. Y hasta reconocer errores. Pero creo fuera de lugar anunciar venganza radiofónica. Eso no,P,AGREEMENT,entretenimiento,train
193,ID:143800453224861696,;-)))) RT @CarlosSerrato82: #FW para @mariviromero y mucha suerte con tu primera entrevista aquí. El hastag es #YNTERVIUMarivi,P,AGREEMENT,entretenimiento,train
194,ID:143801624400363520,"""España gasta mas en sanidad que tofo el presupuesto en sanidad"" Núñez Feijoo en @Gato_directo",N,AGREEMENT,economía,train
195,ID:143801990751858688,A las 22.30 mi primera entrevista en directo en Twitter. Si Quieres seguirla busca el hastag #YnterviuMarivi l http://t.co/FVXISuNy,P,AGREEMENT,entretenimiento,train
196,ID:143808378119004160,Feliz dia del voluntario... Los hËroes anónimos... Los del sacrificia por eleccion propia. Gracias por tanto.,P,AGREEMENT,música,train
197,ID:143810044188823552,Gracias RT @Pepemaras: #YNTERVIUMARIVI Interesante la entrevista de @mariviromero Nuevas herramientas: nuevas formas de comunicar,P,AGREEMENT,entretenimiento,train
198,ID:143814203675906048,Gracias a ti Paco RT @pacorengel: #YNTERVIUMARIVI @mariviromero Muchísimas gracias. Un beso. La cuelgo en un ratito en http://t.co/yK7PeIva,P,AGREEMENT,otros,train
199,ID:143815421844398080,"Aunque en menor medida, también lo son muchas que no son madres ;) @ejoana: Supermujeres. Gran post de @virginiapalonso http://t.co/SUTdmagF",P,AGREEMENT,otros,train
200,ID:143818232397185024,Una vez q ha hablado el protectorado franco-alemán la Europa a 2 o 3 velocidades está hecha: ahora falta ver dónde queda España,N,AGREEMENT,economía,train
201,ID:143822866931130368,"Impresionante! Enhorabuena a @enpiedeguerra y un beso a @chiquiesteban : Percebeiros, de David Beriain, a por el Goya! http://t.co/cP7Ae8Sn",P,AGREEMENT,cine,train
202,ID:143837923459084288,"Sorgiñas, culebras. Cabrones negros de barba larga.",N,AGREEMENT,otros,train
203,ID:143846069267214337,"... enough today... la semana es larga, y seguramente más apasionante de lo recomendable.....",P,AGREEMENT,otros,train
204,ID:143848339530723328,Me voy a leer un rato 'Un día más con vida' de Ryszard #Kapuscinscki. Gran descubrimiento del reportero polaco. ;) http://t.co/cnha2Jy6,P,AGREEMENT,literatura,train
206,ID:143885981412630529,"Despegando ya...que lindo mi pais, que linda mi gente!! --Shak",P,AGREEMENT,música,train
208,ID:143952582036037632,"Bono celebra su última fiesta en el Congreso y la pregunta es si habrá un Viva España! Con @JuanraLucas y en RNE, para arrancar.",P,AGREEMENT,política,train
209,ID:143954158037385217,"Triste RT @JosepLLuisCerro: RT @skalistrao: ""Papá, ¿nosotros qué somos: catalanes o fachas?"" :: Barcelona :: Cataluña: http://t.co/7WAkfXUO",N,AGREEMENT,política,train
210,ID:143977788825808896,Extorsión mafiosa; por Carlos García - en  http://t.co/dBb5qOyt vía @larazon_es,N,AGREEMENT,política,train
211,ID:143981851952955392,"No sé de que se sorprenden algunos. El PP presenta unos presupuestos tarde, sin negociar, cargándose la universidad, recortando derechos...",N,AGREEMENT,política,train
212,ID:143983266272247808,¿Se plantea Rajoy subir el IVA? http://t.co/G7yi7v96,N,AGREEMENT,política,train
213,ID:143983384643911680,"¡Constitución, Constitución!, ¡Cuántos viajes y comidas gratis se han dado en tu nombre!, feliz día.",N,AGREEMENT,política,train
215,ID:143987608870060032,BUENOS DÍAS PARTY TIME!!!,P,AGREEMENT,entretenimiento,train
217,ID:143992574116499456,Hoy en el Día de la Constitución me acuerdo como cada día de los millones de personas bajo en umbral de la pobreza #vivalaconstitucion,N,AGREEMENT,economía,train
218,ID:143995497928073216,Monti dice que no cobrará como primer ministro. Demagogia populista para hacer tragar el ricino de los recortes. La aristocracia financiera,N,AGREEMENT,política,train
221,ID:144005115106439169,Chacón confía en la democracia interna de los partidos.. Día de la Constitución. #Congreso,P,AGREEMENT,política,train
222,ID:144011410857410561,.@marianorajoy #congreso: Primera ley será desarrollo reforma constitución xra garantizar estabilidad presupuestaria. Lo dirá #ZP n Bruselas,P,AGREEMENT,política,train
224,ID:144013467798614016,Empieza el acto de homenaje a la Constitución con el próximo Presidente del Gobierno. #vivalaconstitucion  http://t.co/gRTAQmVu,P,AGREEMENT,política,train
225,ID:144014285130043392,Bono a ZP: has dado lo mejor de ti a España en un momento muy difícil. A Rajoy le desea acierto en sus decisiones x el bien de todos.,P,AGREEMENT,política,train
226,ID:144016948617949185,"Gallardon habla amigablemente con Zapatero, Guerra con Alonso, Pepiño recibe el cariño de periodistas amigos",P,AGREEMENT,política,train
228,ID:144033191601246208,Otro enchufado más antes de que se vaya ZP http://t.co/Jb983lka,N,AGREEMENT,política,train
229,ID:144033311872925696,Rajoy rompe su silencio en la fiesta del Congreso plagada de ausentes http://t.co/C52Ex8M0”,N,AGREEMENT,política,train
231,ID:144037993211105280,"Las instituciones deberían hacer dl día d l Constitución 1 fiesta cívica d todos,destacando valores democráticos y no 1 acto para políticos",P,AGREEMENT,política,train
232,ID:144038375844888576,En alguna CA como Cataluña ni siquiera hay acto institucional en un día como hoy.No interesa recordar #LaConstitucionquenosUne,N,AGREEMENT,política,train
234,ID:144046760757690369,Me agrada coincidir con mi amigo mechor en la denuncia de las tecnicas mafiosas en el Euskadi,P,AGREEMENT,política,train
235,ID:144059183950606337,"Dios mío, es tan real que da miedo... ¡ánimo mamás trabajadora, nosotras podemos!!! Supermujeres http://t.co/8Ogbj0HR",P,AGREEMENT,otros,train
237,ID:144071155320487936,"........ ya ya......Griñán ve ""imposible"" ser imputado en el caso ERE http://t.co/BQaNiwnQ",N,AGREEMENT,economía,train
238,ID:144075611776884736,Gracias por seguirme @RodolfoTesone ;-)),P,AGREEMENT,otros,train
241,ID:144094237338767363,Y ahí va el editorial. RT por favor. CÃ³mo pasar en el 11-M de impostor a testigo de cargo  http://t.co/gzxljuIl,N,AGREEMENT,entretenimiento,train
243,ID:144121476843438080,A ver... Se aclara lo de las entradas o qué???. Aquí los actores esperando. #terratpack http://t.co/xVRFKJdp,P,AGREEMENT,entretenimiento,train
